,ngram,annotated hyponyms
42,bird,n01609751 n01800633 n01515078 n01833112 n01804163 n02029087 n02017725 n02042180 n01572782 n01560280 n02008796 n02028451 n01826680 n01611472 n02014237 n01546506 n01844746 n01858780 n01554017 n01600085 n01612955 n01861330 n01824575 n01587834 n02033041 n01819465 n01588725 n01585715 n02007284 n02021281 n02002075 n02039780 n01568294 n02059852 n01532325 n01599159 n01840412 n01803362 n02015797 n02042046 n02033779 n01853870 n01571904 n01820801 n02005790 n01798168 n02004492 n01804921 n01798839 n01855032 n01824035 n01556182 n02061217 n01553142 n01805321 n02009912 n01856890 n02029378 n01544208 n01818832 n01852400 n01538362 n01623880 n01855188 n02053425 n01591123 n01795088 n01574801 n01791107 n02027897 n01859190 n01849466 n01549886 n02035656 n01797307 n01814217 n01840775 n01853666 n01805070 n01514926 n01829869 n01825278 n01796519 n01844551 n01798979 n02003839 n01617766 n01514752 n01557185 n01582220 n01603600 n01588996 n02033561 n01828970 n01536644 n01528845 n01615121 n01575401 n01569262 n02006063 n01564773 n02004855 n01535690 n02153203 n01857632 n02048353 n01851375 n01585121 n01606177 n01793565 n01790304 n01839086 n01813948 n01807496 n01573240 n01607600 n01545574 n01859852 n01806567 n02043333 n01620735 n01837072 n01806467 n01623425 n01623615 n01595168 n01599556 n02041085 n01856155 n01583209 n01573074 n01820348 n01598988 n02053584 n01849676 n01827403 n01860497 n01597336 n01850192 n02035402 n01602080 n01600657 n01538200 n02054711 n01541102 n02058221 n01843719 n01532511 n01813532 n01609391 n01858845 n01596608 n01804478 n01588431 n01562014 n01851038 n02042472 n01573360 n01611674 n02045596 n01543383 n01800424 n02025239 n01857512 n01583828 n01560793 n01801672 n01795735 n02014524 n02028900 n01854838 n01841679 n02052775 n01836673 n01839949 n01841943 n01519873 n02028035 n01521399 n01521756 n01853498 n01553762 n01565599 n01798706 n01815036 n01529672 n01516212 n01555004 n01811243 n01612275 n01606978 n01582498 n01807105 n02017475 n01560636 n02012185 n02003037 n01599388 n01542168 n01826844 n01821869 n01584853 n01588002 n01598271 n01539272 n01860864 n01622352 n01616551 n01580870 n01610955 n02004131 n01847978 n01578575 n01531639 n01600341 n01833415 n01608814 n01552813 n01813088 n02019438 n01580772 n01594787 n01564914 n01849157 n01861148 n01552034 n01573627 n02046171 n01800195 n01527617 n02011281 n02054036 n02015357 n01620135 n01546039 n01810268 n01569566 n01789740 n01839598 n02057330 n01591005 n01822300 n02059541 n01539925 n02036053 n01540832 n01803078 n01607429 n01558765 n01852142 n01601068 n01828096 n02008041 n01610552 n01526521 n01796105 n01577941 n01613177 n01834177 n01810700 n01607309 n01831712 n01807828 n01543936 n02003577 n02027357 n01550172 n01812662 n01543632 n01550761 n01805801 n01819734 n01622959 n01621635 n01583495 n01791625 n01615303 n02047045 n01585287 n01817953 n01519563 n02038993 n01835769 n01806061 n01574045 n01556514 n01580490 n01820546 n01818299 n01578180 n01622779 n01514859 n01851895 n01812187 n01558307 n02030996 n02028342 n01846331 n01795900 n01795545 n01797020 n01587526 n01535140 n01559804 n01858906 n01594968 n02023341 n01589286 n01534762 n02031298 n01794158 n01558149 n01813658 n01816474 n01792042 n02047517 n01808291 n02024185 n01821554 n01616764 n01847253 n01515303 n02010453 n02018795 n02013177 n02060889 n02044908 n01538059 n02010272 n01542433 n01524761 n01825930 n01857851 n02016358 n01524359 n01845477 n02013567 n01597906 n01797601 n01852671 n01541386 n01623110 n01541760 n01592257 n01577659 n01618503 n01624537 n02034129 n01547832 n01572489 n01570839 n02017213 n01847407 n01572328 n01560419 n02018027 n01841288 n01607812 n01838038 n01804653 n01563449 n01850373 n01533339 n02044517 n01816887 n01531971 n01531811 n01792429 n02058594 n01528396 n02056728 n02041246 n01830042 n01544389 n01591697 n01793715 n02048698 n01543175 n02042759 n02019190 n01537134 n01537544 n01526766 n01533893 n01536035 n01603152 n01819115 n01531344 n01623706 n01794344 n02033208 n02055107 n01592084 n01831360 n01584695 n01574560 n01843065 n01819313 n02037869 n02007558 n01592694 n01597022 n02043063 n02047614 n01790171 n01823414 n01563945 n02020219 n02016659 n01540566 n02021050 n02058747 n01536186 n01852861 n02049088 n01792640 n01591301 n01561181 n02050586 n02036228 n02061853 n01602209 n02016956 n01595974 n01815601 n02013706 n01840120 n01573898 n01579729 n01622483 n01569423 n01615703 n01579578 n01844917 n01592387 n01851731 n01806847 n02028727 n01566207 n01568892 n01616318 n01793085 n02030035 n02052365 n01603953 n01808596 n01617443 n02046759 n02028175 n01575117 n01602630 n02030837 n01849863 n02047411 n01806143 n01608432 n01803893 n01564394 n01614038 n01527917 n02050442 n01832167 n02024479 n01551711 n01575745 n02002556 n01624115 n01581874 n02021795 n01570267 n02511730 n01859496 n02036711 n01791314 n02055658 n01858441 n01613807 n02006656 n01809371 n01605630 n02037110 n01616086 n01843383 n01842504 n01614556 n01552333 n02059162 n01525720 n01821203 n02009229 n01614925 n01798484 n02038466 n01612476 n01850553 n01555809 n01793249 n01847089 n01533000 n01536334 n02050809 n01832813 n01613294 n01817346 n01624305 n01799302 n01808140 n01589893 n02005399 n01517966 n01848323 n01579149 n02011460 n01579410 n01564101 n01845132 n01614343 n01599269 n01569060 n02053083 n02011805 n01567879 n01542786 n01593553 n01619310 n01607962 n01823013 n01536780 n01564217 n01581434 n01540090 n01857079 n01832493 n02057731 n01857325 n01593028 n02041875 n01851573 n01528654 n01610226 n02045864 n02050313 n01801479 n01555305 n01812866 n01523105 n01790812 n01559639 n01565930 n01791463 n01598588 n01522450 n02027492 n02014941 n02060411 n02022684 n02037464 n01806364 n01548492 n01858281 n01609956 n01619835 n02051845 n02039497 n01848453 n01579028 n01835276 n02039171 n02023855 n02051474 n01848555 n01538955 n02003204 n01558461 n01611800 n01531512 n01620414 n01586374 n02033324 n01618082 n01593282 n02011943 n01794651 n01574390 n01811909 n02018207 n01601410 n01848840 n02056570 n01589718 n01790398 n01821076 n01568132 n01841102 n01790557 n01802159 n01538630 n01791388 n01539573 n01796019 n02034295 n02048115 n01814620 n02040266 n01847806 n02030568 n01570676 n01835918 n01549430 n01576358 n01624833 n02046939 n01533481 n02008497 n01520576 n01802721 n02009750 n02008643 n01602832 n01601694 n01527194 n02034661 n01854700 n01809106 n01534433 n02031934 n01848976 n01572654 n01537895 n01814921 n01594372 n01814549 n02050004 n01815270 n02043808 n02027075 n01814370 n01557962 n01789386 n01624212 n02026059 n01568720 n01813385 n02010728 n01587278 n01567678 n01856380 n01608265 n02031585 n01852329 n01856072 n01560105 n01855476 n02049532 n01569836 n02060569 n01792530 n01561452 n01793159 n01791954 n01812337 n01527347 n02032480 n01850873 n01859325 n01860187 n01856553 n01577458 n01824749 n01597737 n02020578 n02029706 n01565345 n01584225 n01541922 n02056228 n02011016 n02012849 n01625562 n01582398 n02045369 n01554448 n02026629 n01595450 n01586941 n01518878 n01586020 n02052204 n01571410 n02057035 n01566645 n01598074 n01567133 n02000954 n01848648 n01534582 n01604968 n01581166 n01827793 n01618922 n01619536 n01503976 n01611969 n01549641 n01581984 n01603812 n01551300 n02041678 n01585422 n01548301 n01559160 n01822602 n02016066 n02009380 n01534155 n01841441 n02034971 n01570421 n01817263 n01533651 n01853195 n01559477 n02002724 n01609062 n02055803 n01596273 n01580077 n01563746 n01569971 n01561732 n01560935 n01515217 n01580379 n01606672 n01612122 n01824344 n02030224 n02054502 n01606809 n02006364 n01803641 n01549053 n01790711 n01599741 n01517389 n01610100 n02040505 n02030287 n02047260 n02032222 n02032769 n01579260 n01818515 n01532829 n01854415 n02009508 n01801876 n01837526 n01796729 n01792955 n02026948 n01834540 n01548694 n01606522 n01622120 n02016816 n01540233 n02019929 n01793435 n02060133 n01594004 n01551080 n01595624 n01814755 n01826364 n01855672 n01546921 n01830479 n01844231 n01829413 n01625121 n01820052 n01842235 n01503061 n01517565 n01838598 n02057898 n01612628 n01544704 n01816140 n02038141 n02023992 n01801088 n02051059 n01576076 n01562451 n02035210 n01535469 n01621127 n01797886 n01582856 n01531178 n01592540 n01530439 n01617095 n01793340 n01842788 n02015554 n02044178 n01577035 n01792808 n01548865 n01809752 n01563128 n01606097 n02018368 n01576695 n01816017 n01799679 n01836087 n01806297 n01828556 n02024763 n01558594 n01823740 n01603000 n02044778 n01848123 n01847170 n01581730 n01562265 n01558993 n01514668 n01792158 n01839330 n02061560 n01530575 n01830915 n01833805 n02025043 n01847000 n01796340 n02047975 n02033882 n02025389 n01860002 n01553527 n01590220 n02006985 n01851207 n01604330 n02032355 n01859689 n01615458 n01565078 n01839750
45,kangaroo,n01878061 n01877134 n01879837 n01877606 n01878639 n01879217 n01879509 n01878335 n01880716 n01878929 n01880813 n01877812 n01880152 n01880473
47,teacher,n09990777 n10341343 n10694939 n10530383 n10464542 n09931418 n10694258 n10020807 n09901337 n10509063
48,box,n02782681 n04200258 n04253931 n03064758 n03876111 n04030414 n02786331 n03014705 n04225222 n04477548 n02978055 n04182152 n04125021 n03871724 n02971356 n04125257 n03127925 n04439505 n04158956 n03710193 n03535024 n02976939 n03963483 n02989099 n04452615 n04397168 n02977438 n03908618 n04495051 n03064350 n04253057 n04030274 n03982767 n04462011 n03729402 n04136045 n03030353 n04589325 n03524287 n02998003 n02836392 n02883344 n04340750
49,boy,n09785891 n10078719 n10082299 n09871681 n09843443 n09981939 n09871229 n10567613
50,daughter,n09992837 n10333601
51,soldier,n10772580 n10690648 n10146816 n10146416 n09902353 n10253703 n10381981 n10410246 n10523341 n10291469 n09797873 n10530571 n10540252 n10321632 n10739391 n10622053 n10341446 n10771066
52,shovel,n03989665 n03056493 n04266486 n03291413 n03488603 n04208210 n03418158 n03214450
53,apple,n07740855 n07739506 n07740461 n07739344 n07740597 n07739125 n07742313 n07740954 n07739923 n07741235 n07742224 n07742513 n07742605 n07740744 n07741888 n07741623 n07741357 n07741804 n07742415 n07740115 n07740220 n07740342 n07741138 n07740033 n07741706 n07741461 n07742012
54,Doctor,n10051761 n10006177 n10156629 n10377633 n10154013 n10170681 n10189278 n10504206 n10354754 n10121800 n10488016 n10632576 n10478827 n10354265 n10528023 n10679174 n10369699 n10212231 n10741493 n10020890 n09894445 n10074578
55,snowboard,n04251791
56,Book,n06419354 n06423496 n06417096 n06418693
57,motor,n04591517 n03426574 n04498523 n03565710 n03287733 n02761557 n04027820 n04170515 n04057435 n04099175 n04430605 n03388990 n02872333 n03552449 n02687423 n03273061 n04265904 n04549721 n04062179 n04594114 n04587404 n04310604 n04309049 n04519728 n04110654 n02762909 n03507963 n03307573 n03789946 n03260504 n03834472 n03708425 n04375615 n04304375 n02700064 n04498873 n03596285 n03422771 n03859000 n03321103 n03424630 n03579982 n04057673 n04051269 n03583419 n04040373 n03616763 n03392648 n03193107 n03433877
58,duck,n01847253 n01851375 n01848840 n01849676 n01848323 n01852329 n01850192 n01847978 n01852400 n01855188 n01851573 n01854838 n01849157 n01851731 n01850373 n01847806 n01849466 n01855476 n01853498 n01848123 n01853666 n01853195 n01847089 n01851895 n01848453 n01849863 n01846331 n01852142 n01847000 n01848555 n01854700 n01852671 n01853870 n01848976 n01847407 n01848648 n01852861 n01851207 n01851038 n01855032 n01850553 n01854415 n01850873 n01847170
59,hamburger,n07697313 n07697100
62,bottle opener,n03109150 n02877962 n02956795
63,hospital,n03540595 n03730334 n03333349 n03129471 n03762982
64,frog,n01648620 n01651059 n01641739 n01642943 n01644900 n01650690 n01643896 n01642257 n01651487 n01644373 n01646802 n01642097 n01646388 n01647640 n01651285 n01649170 n01653509 n01647466 n01649412 n01641391 n01653026 n01649726 n01647303 n01646555 n01653223 n01651641 n01646648 n01654863 n01643507 n01640846 n01651778 n01653773 n01646902 n01648139 n01641577 n01649556 n01652297 n01650901 n01654083 n01643255 n01645466 n01645776 n01642539 n01641206 n01652026 n01642391 n01641930 n01650167 n01648356 n01646292 n01654637 n01639765 n01647033 n01647180
65,camera,n04261638 n03358726 n03976467 n03974915 n02884994 n02942699 n03789171 n03196062 n02947977 n03987266 n04569063 n04069434
66,crab,n01981276 n01980166 n01979874 n01979526 n01978287 n01977485 n01982068 n01978136 n01981702 n01982347 n01978010 n01980655 n01976957 n01978455 n01978930 n01978587 n01979269
67,vehicle,n03792782 n03791053 n04147183 n03351262 n03833907 n02763198 n03384352 n02918455 n03362771 n02918964 n04222723 n04236001 n03465151 n03977592 n04365112 n04297098 n02863638 n02907296 n04563020 n02901377 n02965300 n03173929 n04457326 n04245412 n04176068 n02871314 n04389999 n02755529 n04483307 n02909706 n03585778 n03236423 n02912557 n03025165 n04347754 n03698604 n04476116 n04353573 n02749292 n03466600 n03545470 n04020912 n03594945 n04480527 n02766534 n04583620 n04224543 n04359034 n03896419 n04302863 n04215800 n03845190 n03577672 n03718699 n04024983 n04574348 n02901901 n04037298 n04457474 n03543394 n02784124 n03662601 n02986066 n03666917 n02964295 n04543924 n03897634 n02869563 n02968473 n03254374 n03186285 n02932523 n04244997 n03256788 n04363671 n04115456 n03373611 n03710079 n02956393 n04212467 n02858304 n03492087 n02794972 n04204347 n03977966 n02740533 n04397027 n03397266 n03764276 n02932891 n03870105 n03335030 n04574471 n03538634 n04252225 n03710294 n04606251 n03648431 n03668488 n03791235 n04228422 n03798610 n03095699 n04490091 n02690373 n04495843 n04309348 n03796401 n04363210 n02693540 n02831335 n03578251 n03604311 n03868242 n02691156 n04242408 n03245889 n03602081 n04487724 n03621694 n04415663 n04065272 n03541923 n02982416 n03493219 n03884639 n04477725 n02947660 n04017807 n03506880 n03215191 n03680512 n03603594 n04208760 n04103364 n03632852 n02729222 n04485750 n03468570 n02860847 n02861022 n02794474 n04465358 n02686568 n04037443 n03510583 n02901620 n03670208 n03596543 n02853336 n03426871 n04610013 n03919096 n04246855 n03345487 n03859170 n04264914 n02739889 n04158807 n03417042 n04335435 n04389033 n03180504 n04308807 n03421669 n03445924 n03037590 n04427473 n02834778 n03100240 n02946509 n03079136 n03342961 n04560502 n03609235 n04363082 n04225987 n03881534 n03365231 n03765467 n03556992 n04320405 n04389521 n04571800 n04308397 n03478589 n02704645 n02704792 n02951358 n04543509 n02965216 n03397412 n04543158 n03464628 n04467099 n02814533 n04487894 n03538406 n03411339 n04266014 n04308084 n02811618 n04302988 n04250599 n03770679 n04368695 n03140771 n03752922 n04497249 n03235979 n04201733 n04244847 n04026813 n03790230 n03552749 n03647423 n04062807 n02958343 n02959942 n03874138 n04166281 n03947888 n03105306 n03673027 n02701002 n03447447 n03436656 n03436772 n03436891 n04149374 n03509843 n03828020 n02693413 n02843029 n03777568 n02687172 n04099429 n02970849 n03548533 n03538300 n02666501 n04291992 n03981566 n03490784 n03154316 n04322692 n02933750 n03696445 n03356038 n04552348 n03790512 n02965122 n03465320 n04474187 n04373428 n03896103 n04160586 n03973003 n03272562 n04577293 n04577139 n04322801 n03329663 n02781338 n02692877 n04129490 n02792552 n03466162 n04552696 n03360731 n03055670 n03809312 n03141065 n02850950 n03140900 n02716626 n04235291 n03857156 n03435991 n03768823 n03200357 n03002555 n04133114 n02916179 n03690473 n04317063 n04467665 n03660562 n04190997 n03595860 n03930630 n03045228 n03174079 n03236093 n04097373 n04310018 n02983507 n03772674 n03785016 n04095210 n03776460 n04348184 n03930431 n03247351 n04524716 n02797295 n04264765 n03799375 n03439814 n02686121 n04509417 n03444034 n02878222 n03853924 n04347119 n04242587 n03930229 n04285008 n03119396 n03539103 n04038231 n02740300 n03491032 n04308273 n04150273 n04150371 n02787120 n04567746 n04230487 n04070964 n03498781 n04273569 n02968210 n04464852 n03304197 n03783873 n03512147 n02804515 n02981792 n04262530 n03193423 n02792409 n03268790 n03316873 n03609786 n04229007 n03217739 n02812201 n02842573 n04612373 n04612504 n04012084 n04252077 n04038338 n02929923 n04091584 n04215910 n03389889 n03895866 n03703203 n03904433 n03321419 n03466493 n04128499 n02793199 n04409011 n04409128 n04409279 n04465501 n04558059 n04465666 n03695753 n02775039 n03718212 n03472937 n04474035 n02885108 n04486616 n03939565 n03484083 n04304215 n03549199 n03327133 n04146862 n04285965 n04229480 n03989199 n02740061 n03344393 n03648667 n02712643 n03900194 n04389854 n04524313 n03547229 n02937336 n02867715 n03770085 n03697366 n04210288 n04461696 n02946348 n04197110 n04587327 n03556811 n04562122 n04482393 n02966068 n04469684 n03483971 n02854630 n02835271 n03939178 n03141327 n02986348 n04576211 n03886053 n03256166 n03638623 n03199901 n04194289 n03669245 n03056097 n04503499 n03412511 n04128837 n03009269 n03009111 n04170037 n03612010 n03180732 n03585551 n03193597 n02931013 n02930766 n04466871 n03981924 n03769722 n03684823 n02759387 n03861430 n04012482 n03638014 n04037964 n04223066 n04530566 n03255899 n03811295 n03599486 n03594010 n03027505 n03193260 n03764822 n03541269 n03381565 n03122295 n04566561 n03053976 n03393912 n03638180 n04520170 n04520382 n03061345 n04006067 n03773504 n03125870 n04459122 n03490119 n04310157 n04443433 n03389761 n04389718 n03404012 n03218198 n02737351 n04211219 n03567788 n04126066 n04516354 n02782093 n04062644
68,megaphone,n03743279
69,Land,n08558770
70,door,n03395514 n02963821 n02836513 n02964934 n03394649 n03226880 n03579538 n04153025 n04086446 n04239074 n02793842 n03376771 n03498662 n04475309 n03221720 n04371979 n04329834
71,envelope,n04589434 n03291819
72,floor lamp,n03367059
73,chocolate,n07607138
74,glass,n04168472 n03372549 n04496872 n04559910 n03518135 n02918831 n03890233 n03676623 n04249882 n04206225 n04592099 n02823750 n04147291 n04119360 n03443371 n03438257
75,flag,n03911866 n02788021 n03855464 n03354903 n03320845 n03290096
76,train,n02859729 n03078802 n03711044 n04349306 n03394480 n02971579 n03896233 n03394272 n03541393 n04468005 n04334504 n02917067
77,adult,n09990777 n09905530 n09861599 n10477713 n10117851 n10173410 n10559996 n10279778 n10314054 n10051761 n10202225 n10156629 n10377633 n10409459 n10079893 n10127186 n10187491 n10636488 n10721124 n10189278 n10354754 n10164233 n09902128 n10632576 n10780284 n10581890 n10598013 n10119609 n09827246 n10771066 n10173771 n10694939 n10472129 n10656120 n09931418 n10095420 n10028541 n10375052 n10517283 n10164492 n10144338 n10741493 n10703221 n10020533 n10679503 n10692090 n10789415 n10142166 n09936825 n09904837 n09817386 n09894445 n10474645 n10019072 n10376890 n10311661 n10792506 n10092794 n10345100 n09889065 n10038119 n10580437 n10015792 n10484858 n10804287 n10249191 n09933842 n10006177 n10341343 n10421470 n10154013 n10464542 n10080117 n10663315 n10504206 n10025635 n10192839 n09903153 n10074249 n10200781 n10745770 n10539160 n10183347 n10304086 n10597745 n10369699 n10679174 n09874862 n10500824 n10212231 n10598181 n10235269 n10174971 n09929577 n10678937 n10233248 n10055410 n10350220 n10791115 n10377021 n10248198 n10375314 n10305802 n10235385 n09827363 n10138472 n10305635 n09938991 n10153414 n10076483 n10417424 n10118301 n10368528 n10597889 n10694258 n10280034 n10048612 n10323752 n09924313 n10488016 n10303037 n10170681 n10748620 n10516527 n10462860 n10121800 n09847543 n10239928 n10074578 n10106387 n10376523 n09816654 n10528023 n10366145 n09834258 n10757050 n10314836 n10024025 n10787470 n10354265 n10715030 n10333044 n10129338 n09895561 n10187130 n10252222 n09901337 n10048117 n09919451 n10247358 n09637339 n10366966 n09981278 n09892262 n09853881 n10368624 n10780632 n10130877 n10160188 n10222259 n10613996 n10081842 n09895480 n10222170 n10302700 n10302576 n10140929 n10282482 n10756061 n10243137 n10194231 n10530383 n09641002 n09967406 n09895222 n10020807 n10288964 n10249950 n10096508 n10478827 n10416567 n10685398 n10182402 n10020366 n10441694 n10114662 n10266016 n10188856 n09904208 n10020890 n10130686 n10022908 n10586903 n10592049 n09832456 n10332953 n10274173 n10406765 n10419785 n10406266 n10218164 n10129825 n10665587 n10020670 n10509063
78,rabbit,n02325722 n02328009 n02324587 n02324850 n02325366 n02324045 n02325884 n02326074 n02324514 n02328150 n02324431
79,baby,n10353016 n10397392 n10704238 n10699981 n10134396 n10368291 n10465451 n10135129
80,piano,n03452741 n03928116 n04278353 n04515003 n02766792 n03086457 n03738066
81,room,n03319745 n02783324 n03075946 n04363991 n04319545 n03412058 n03411927 n03464952 n03162460 n03199775 n03465040 n03653740 n03091223 n03751065 n04415815 n03288500 n02680638 n04356925 n03054491 n04209613 n04345028 n03092053 n03646809 n03405111 n04555291 n04067818 n02873839 n03040376 n04324387 n04064862 n02934451 n04299370 n04023119 n04018667 n02823848 n03788601 n03049457 n03079741 n04523831 n02963987 n02884225 n04131113 n04345201 n04552551 n03632963 n03978421 n04213530 n02991302 n03045800 n03878211 n04139395 n03441345 n03842276 n03303831 n04602762 n04105893 n03061505 n04305572 n03786313 n04065464 n02932019 n04499300 n03089879 n03077616 n02821627 n03283221 n03465718 n04131015 n03478907 n04449290 n03836062 n03850245 n03718581 n02715513 n03885535 n03177059 n03779000 n03696065 n02807731 n03457008 n04247440 n03412220 n03412387 n04446276 n04209509 n02726210 n04112579 n03038685 n04308583 n03525252 n02931148 n03145277 n04107598 n03200539 n03858533 n03238131 n02824319 n03619890 n04545984 n04000592 n03635516 n04180229 n02960352 n03225108 n04596492 n02795670 n04155889 n03501520 n02812785 n02812631 n03090172 n04213105 n03999621 n03200701 n04458201 n03116008 n03679712 n03366464 n04291069 n03440876 n03206282 n04157099 n03256928 n04401680 n03982331 n02917742 n04541987 n03098688 n03235180 n03235042 n03017070 n04558478 n03154616 n03175081 n03683708 n02838577 n03691817 n04058096 n03809686 n03165466 n04001132 n02839592 n02796995 n03660909 n03891538 n04329477 n04481642 n03086580 n02933462 n02710324 n03529175 n04341133 n03822361 n04406239 n03120778 n03939677 n03606347 n04196803 n03746486 n04532504 n03620353 n03222176 n03727465 n04061793 n02857644 n04119478 n03215076 n03062122 n02952585 n04232312 n03541091 n03542860 n02878534
82,car,n02814533 n03770085 n03421669 n03680512 n03472937 n03777568 n03539103 n03268790 n03770679 n03100240 n03079136 n03342961 n03404012 n02930766 n03881534 n04201733 n04037443 n03498781 n04097373 n02958343 n02831335 n04285965 n04166281 n03594945 n03670208 n03141065 n03493219 n02701002 n04302988 n04459122 n04516354 n04322801 n04347119 n03870105 n03543394 n04285008 n03119396
83,blade,n04121511 n04054361 n03327691 n02771750 n03318865 n03039493 n04373894 n02987492 n03292475 n03153246 n04147793 n03375575 n02904640
85,roof,n03148727 n03522100 n03847471 n04087709 n03461882 n02796207 n04579230 n03413684 n03149401 n04105068 n02751067 n04417672 n03409591 n03718789 n03435593 n04435653 n03395401 n04357121 n03220513 n04001397 n04523525 n04234887 n03546235
86,cat,n02126317 n02124157 n02125311 n02124075 n02125689 n02122725 n02127586 n02123917 n02122878 n02123159 n02123045 n02127678 n02124623 n02127052 n02127292 n02125081 n02126139 n02127482 n02125872 n02125010 n02126028 n02124484 n02121620 n02125494 n02124313 n02122810 n02123478 n02126787 n02122510 n02127381 n02123242 n02121808 n02122298 n02123394 n02123785 n02123597 n02126640 n02122430
87,beer-mug,n02824058
88,donut,n07639069
89,seagull,n02042180 n02042472 n02041678 n02041246 n02041875 n02042759 n02042046
90,grenade,n03458271 n03485309 n04090781
92,shark,n01482330 n01491661 n01492860 n01489501 n01491874 n01488038 n01490670 n01486540 n01484097 n01483021 n01494475 n01488918 n01483522 n01493541 n01494882 n01486838 n01492569 n01484285 n01487506 n01484562 n01489920 n01494041 n01484850 n01492357 n01494757 n01484447 n01483830 n01495493 n01491006 n01492708 n01489709 n01486010 n01493146 n01495006 n01490112 n01490360 n01491361 n01493829 n01485479
93,BAR,n02795670 n02796995 n03062122
